50;0
100;0
150;0
200;0
250;0
301;0
352;0
402;0
452;0
502;0
552;0
604;0
654;91.74
704;85.23
754;79.58
805;74.53
856;70.09
906;66.23
956;62.76
1007;59.58
1057;56.76
1107;54.2
1158;103.54
1209;99.26
1259;95.31
1309;91.6
1360;88.24
1411;85.05
1461;82.14
1512;79.37
1562;76.82
1612;74.44
1664;72.12
1714;105.02
1764;102.04
1814;99.17
1865;96.51
1915;93.99
1966;91.56
2017;89.24
2067;87.08
2117;85.03
2168;83.03
2219;81.12
2269;79.33
2319;103.45
2370;101.27
2420;99.17
2470;97.17
2522;95.16
14184;0
14234;0
14285;0
14336;0
14386;0
14436;0
14487;0
14537;0
14587;0
14638;0
14689;0
14739;0
14789;0
14839;0
14889;0
14941;0
14991;0
15041;0
15091;0
2219;81.12
2269;79.33
15142;0
15193;0
15243;0
704;85.23
754;79.58

15293;0
